Season,AGE,GP,GS,MIN,PTS,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF
1996-97,18,71,6,15.5,7.6,2.5,5.9,41.7,0.7,1.9,37.5,1.9,2.3,81.9,0.7,1.2,1.9,1.3,0.7,0.3,1.6,1.4
1997-98,19,79,1,26,15.4,4.9,11.6,42.8,0.9,2.8,34.1,4.6,5.8,79.4,1,2.1,3.1,2.5,0.9,0.5,2,2.3
1998-99,20,50,50,37.9,19.9,7.2,15.6,46.5,0.5,2,26.7,4.9,5.8,83.9,1.1,4.2,5.3,3.8,1.4,1,3.1,3.1
1999-00,21,66,62,38.2,22.5,8.4,17.9,46.8,0.7,2.2,31.9,5,6.1,82.1,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3
2000-01,22,68,68,40.9,28.5,10.3,22.2,46.4,0.9,2.9,30.5,7,8.2,85.3,1.5,4.3,5.9,5,1.7,0.6,3.2,3.3
2001-02,23,80,80,38.3,25.2,9.4,20,46.9,0.4,1.7,25,6.1,7.4,82.9,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9
2002-03,24,82,82,41.5,30,10.6,23.5,45.1,1.5,4,38.3,7.3,8.7,84.3,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7
2003-04,25,65,64,37.6,24,7.9,18.1,43.8,1.1,3.3,32.7,7,8.2,85.2,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7
2004-05,26,66,66,40.7,27.6,8.7,20.1,43.3,2,5.9,33.9,8.2,10.1,81.6,1.4,4.5,5.9,6,1.3,0.8,4.1,2.6
2005-06,27,80,80,41,35.4,12.2,27.2,45,2.3,6.5,34.7,8.7,10.2,85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9
2006-07,28,77,77,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10,86.8,1,4.7,5.7,5.4,1.4,0.5,3.3,2.7
2007-08,29,82,82,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9,84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8
2008-09,30,82,82,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3
2009-10,31,73,73,38.8,27,9.8,21.5,45.6,1.4,4.1,32.9,6,7.4,81.1,1.1,4.3,5.4,5,1.5,0.3,3.2,2.6
2010-11,32,82,82,33.9,25.3,9,20,45.1,1.4,4.3,32.3,5.9,7.1,82.8,1,4.1,5.1,4.7,1.2,0.1,3,2.1
2011-12,33,58,58,38.5,27.9,9.9,23,43,1.5,4.9,30.3,6.6,7.8,84.5,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8
2012-13,34,78,78,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8,83.9,0.8,4.7,5.6,6,1.4,0.3,3.7,2.2
2013-14,35,6,6,29.5,13.8,5.2,12.2,42.5,0.5,2.7,18.8,3,3.5,85.7,0.3,4,4.3,6.3,1.2,0.2,5.7,1.5
2014-15,36,35,35,34.5,22.3,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9
2015-16,37,13,13,31.1,15.5,5.2,16.9,30.5,1.4,6.8,20.2,3.8,4.5,83.1,0.5,3.5,4.1,3.4,1,0.1,2.1,2.2